Category,Slot,Name,Tier,Rarity,Damage,Defense,HP,Speed
Warrior's Forge,SWORD,Sword,1,Normal,18,0,0,1.5%
Warrior's Forge,SWORD,Sword,1,Good,63,0,0,5.3%
Warrior's Forge,SWORD,Sword,1,Outstanding,108,0,0,9.0%
Warrior's Forge,SWORD,Sword,1,Excellent,153,0,0,12.8%
Warrior's Forge,SWORD,Sword,1,Masterpiece,198,0,0,16.5%
Warrior's Forge,SWORD,Sword,2,Normal,108,0,0,9.0%
Warrior's Forge,SWORD,Sword,2,Good,153,0,0,12.8%
Warrior's Forge,SWORD,Sword,2,Outstanding,198,0,0,16.5%
Warrior's Forge,SWORD,Sword,2,Excellent,243,0,0,20.3%
Warrior's Forge,SWORD,Sword,2,Masterpiece,288,0,0,24.0%
Warrior's Forge,SWORD,Sword,3,Normal,198,0,0,16.5%
Warrior's Forge,SWORD,Sword,3,Good,243,0,0,20.3%
Warrior's Forge,SWORD,Sword,3,Outstanding,288,0,0,24.0%
Warrior's Forge,SWORD,Sword,3,Excellent,333,0,0,27.8%
Warrior's Forge,SWORD,Sword,3,Masterpiece,378,0,0,31.5%
Warrior's Forge,SWORD,Sword,4,Normal,288,0,0,24.0%
Warrior's Forge,SWORD,Sword,4,Good,333,0,0,27.8%
Warrior's Forge,SWORD,Sword,4,Outstanding,378,0,0,31.5%
Warrior's Forge,SWORD,Sword,4,Excellent,423,0,0,35.3%
Warrior's Forge,SWORD,Sword,4,Masterpiece,468,0,0,39.0%
Warrior's Forge,SWORD,Sword,5,Normal,378,0,0,31.5%
Warrior's Forge,SWORD,Sword,5,Good,423,0,0,35.3%
Warrior's Forge,SWORD,Sword,5,Outstanding,468,0,0,39.0%
Warrior's Forge,SWORD,Sword,5,Excellent,513,0,0,42.8%
Warrior's Forge,SWORD,Sword,5,Masterpiece,558,0,0,46.5%
Warrior's Forge,SWORD,Sword,6,Normal,468,0,0,39.0%
Warrior's Forge,SWORD,Sword,6,Good,513,0,0,42.8%
Warrior's Forge,SWORD,Sword,6,Outstanding,558,0,0,46.5%
Warrior's Forge,SWORD,Sword,6,Excellent,603,0,0,50.3%
Warrior's Forge,SWORD,Sword,6,Masterpiece,648,0,0,54.0%
Warrior's Forge,SWORD,Sword,7,Normal,558,0,0,46.5%
Warrior's Forge,SWORD,Sword,7,Good,603,0,0,50.3%
Warrior's Forge,SWORD,Sword,7,Outstanding,648,0,0,54.0%
Warrior's Forge,SWORD,Sword,7,Excellent,693,0,0,57.8%
Warrior's Forge,SWORD,Sword,7,Masterpiece,738,0,0,61.5%
Warrior's Forge,SWORD,Sword,8,Normal,648,0,0,54.0%
Warrior's Forge,SWORD,Sword,8,Good,693,0,0,57.8%
Warrior's Forge,SWORD,Sword,8,Outstanding,738,0,0,61.5%
Warrior's Forge,SWORD,Sword,8,Excellent,783,0,0,65.3%
Warrior's Forge,SWORD,Sword,8,Masterpiece,828,0,0,69.0%
Warrior's Forge,SWORD,Sword,9,Normal,738,0,0,61.5%
Warrior's Forge,SWORD,Sword,9,Good,783,0,0,65.3%
Warrior's Forge,SWORD,Sword,9,Outstanding,828,0,0,69.0%
Warrior's Forge,SWORD,Sword,9,Excellent,873,0,0,72.8%
Warrior's Forge,SWORD,Sword,9,Masterpiece,918,0,0,76.5%
Warrior's Forge,SWORD,Sword,10,Normal,828,0,0,69.0%
Warrior's Forge,SWORD,Sword,10,Good,873,0,0,72.8%
Warrior's Forge,SWORD,Sword,10,Outstanding,918,0,0,76.5%
Warrior's Forge,SWORD,Sword,10,Excellent,963,0,0,80.3%
Warrior's Forge,SWORD,Sword,10,Masterpiece,1008,0,0,84.0%
Warrior's Forge,SHEATH,Sheath,1,Normal,18,6,0,1.5%
Warrior's Forge,SHEATH,Sheath,1,Good,63,21,0,5.3%
Warrior's Forge,SHEATH,Sheath,1,Outstanding,108,36,0,9.0%
Warrior's Forge,SHEATH,Sheath,1,Excellent,153,51,0,12.8%
Warrior's Forge,SHEATH,Sheath,1,Masterpiece,198,66,0,16.5%
Warrior's Forge,SHEATH,Sheath,2,Normal,108,36,0,9.0%
Warrior's Forge,SHEATH,Sheath,2,Good,153,51,0,12.8%
Warrior's Forge,SHEATH,Sheath,2,Outstanding,198,66,0,16.5%
Warrior's Forge,SHEATH,Sheath,2,Excellent,243,81,0,20.3%
Warrior's Forge,SHEATH,Sheath,2,Masterpiece,288,96,0,24.0%
Warrior's Forge,SHEATH,Sheath,3,Normal,198,66,0,16.5%
Warrior's Forge,SHEATH,Sheath,3,Good,243,81,0,20.3%
Warrior's Forge,SHEATH,Sheath,3,Outstanding,288,96,0,24.0%
Warrior's Forge,SHEATH,Sheath,3,Excellent,333,111,0,27.8%
Warrior's Forge,SHEATH,Sheath,3,Masterpiece,378,126,0,31.5%
Warrior's Forge,SHEATH,Sheath,4,Normal,288,96,0,24.0%
Warrior's Forge,SHEATH,Sheath,4,Good,333,111,0,27.8%
Warrior's Forge,SHEATH,Sheath,4,Outstanding,378,126,0,31.5%
Warrior's Forge,SHEATH,Sheath,4,Excellent,423,141,0,35.3%
Warrior's Forge,SHEATH,Sheath,4,Masterpiece,468,156,0,39.0%
Warrior's Forge,SHEATH,Sheath,5,Normal,378,126,0,31.5%
Warrior's Forge,SHEATH,Sheath,5,Good,423,141,0,35.3%
Warrior's Forge,SHEATH,Sheath,5,Outstanding,468,156,0,39.0%
Warrior's Forge,SHEATH,Sheath,5,Excellent,513,171,0,42.8%
Warrior's Forge,SHEATH,Sheath,5,Masterpiece,558,186,0,46.5%
Warrior's Forge,SHEATH,Sheath,6,Normal,468,156,0,39.0%
Warrior's Forge,SHEATH,Sheath,6,Good,513,171,0,42.8%
