ItemID,QualityName,Damage,Defense,HP,Speed,AttackSpeed,BlockChance
T1_SWORD,Normal,63,0,0,"26,1",0,0
T1_SWORD,Good,66,0,0,"27,4",0,0
T1_SWORD,Outstanding,69,0,0,"28,7",0,0
T1_SWORD,Excellent,72,0,0,"30,2",0,0
T1_SWORD,Masterpiece,76,0,0,"31,7",0,0
T2_SWORD,Normal,80,0,0,"33,3",0,0
T2_SWORD,Good,84,0,0,"34,9",0,0
T2_SWORD,Outstanding,88,0,0,"36,7",0,0
T2_SWORD,Excellent,92,0,0,"38,5",0,0
T2_SWORD,Masterpiece,97,0,0,"40,4",0,0
T3_SWORD,Normal,102,0,0,"42,5",0,0
T3_SWORD,Good,107,0,0,"44,6",0,0
T3_SWORD,Outstanding,112,0,0,"46,8",0,0
T3_SWORD,Excellent,118,0,0,"49,2",0,0
T3_SWORD,Masterpiece,124,0,0,"51,6",0,0
T4_SWORD,Normal,130,0,0,"54,2",0,0
T4_SWORD,Good,137,0,0,"56,9",0,0
T4_SWORD,Outstanding,143,0,0,"59,7",0,0
T4_SWORD,Excellent,151,0,0,"62,7",0,0
T4_SWORD,Masterpiece,158,0,0,"65,9",0,0
T5_SWORD,Normal,166,0,0,"69,2",0,0
T5_SWORD,Good,174,0,0,"72,6",0,0
T5_SWORD,Outstanding,183,0,0,"76,3",0,0
T5_SWORD,Excellent,192,0,0,"80,1",0,0
T5_SWORD,Masterpiece,202,0,0,"84,1",0,0
T6_SWORD,Normal,212,0,0,"88,3",0,0
T6_SWORD,Good,222,0,0,"92,7",0,0
T6_SWORD,Outstanding,234,0,0,"97,3",0,0
T6_SWORD,Excellent,245,0,0,"102,2",0,0
T6_SWORD,Masterpiece,257,0,0,"107,3",0,0
T7_SWORD,Normal,270,0,0,"112,7",0,0
T7_SWORD,Good,284,0,0,"118,3",0,0
T7_SWORD,Outstanding,298,0,0,"124,2",0,0
T7_SWORD,Excellent,313,0,0,"130,4",0,0
T7_SWORD,Masterpiece,329,0,0,"136,9",0,0
T8_SWORD,Normal,345,0,0,"143,8",0,0
T8_SWORD,Good,362,0,0,151,0,0
T8_SWORD,Outstanding,380,0,0,"158,5",0,0
T8_SWORD,Excellent,399,0,0,"166,5",0,0
T8_SWORD,Masterpiece,419,0,0,"174,8",0,0
T9_SWORD,Normal,440,0,0,"183,5",0,0
T9_SWORD,Good,462,0,0,"192,7",0,0
T9_SWORD,Outstanding,485,0,0,"202,3",0,0
T9_SWORD,Excellent,510,0,0,"212,4",0,0
T9_SWORD,Masterpiece,535,0,0,"223,1",0,0
T10_SWORD,Normal,562,0,0,"234,2",0,0
T10_SWORD,Good,590,0,0,"245,9",0,0
T10_SWORD,Outstanding,620,0,0,"258,2",0,0
T10_SWORD,Excellent,651,0,0,"271,1",0,0
T10_SWORD,Masterpiece,683,0,0,"284,7",0,0
T1_SHIELD,Normal,0,"85,8",114,0,0,0
T1_SHIELD,Good,0,"90,1",120,0,0,0
T1_SHIELD,Outstanding,0,"94,6",126,0,0,0
T1_SHIELD,Excellent,0,"99,4",132,0,0,0
T1_SHIELD,Masterpiece,0,"104,3",139,0,0,0
T2_SHIELD,Normal,0,"109,6",146,0,0,0
T2_SHIELD,Good,0,115,153,0,0,0
T2_SHIELD,Outstanding,0,"120,8",161,0,0,0
T2_SHIELD,Excellent,0,"126,8",169,0,0,0
T2_SHIELD,Masterpiece,0,"133,2",178,0,0,0
T3_SHIELD,Normal,0,"139,8",186,0,0,0
T3_SHIELD,Good,0,"146,8",196,0,0,0
T3_SHIELD,Outstanding,0,"154,2",206,0,0,0
T3_SHIELD,Excellent,0,"161,9",216,0,0,0
T3_SHIELD,Masterpiece,0,170,227,0,0,0
T4_SHIELD,Normal,0,"178,5",238,0,0,0
T4_SHIELD,Good,0,"187,4",250,0,0,0
T4_SHIELD,Outstanding,0,"196,7",262,0,0,0
T4_SHIELD,Excellent,0,"206,6",275,0,0,0
T4_SHIELD,Masterpiece,0,"216,9",289,0,0,0
T5_SHIELD,Normal,0,"227,8",304,0,0,0
T5_SHIELD,Good,0,"239,2",319,0,0,0
T5_SHIELD,Outstanding,0,"251,1",335,0,0,0
T5_SHIELD,Excellent,0,"263,7",352,0,0,0
T5_SHIELD,Masterpiece,0,"276,8",369,0,0,0
T6_SHIELD,Normal,0,"290,7",388,0,0,0
T6_SHIELD,Good,0,"305,2",407,0,0,0
T6_SHIELD,Outstanding,0,"320,5",427,0,0,0
T6_SHIELD,Excellent,0,"336,5",449,0,0,0
T6_SHIELD,Masterpiece,0,"353,3",471,0,0,0
T7_SHIELD,Normal,0,371,495,0,0,0
T7_SHIELD,Good,0,"389,6",519,0,0,0
T7_SHIELD,Outstanding,0,409,545,0,0,0
T7_SHIELD,Excellent,0,"429,5",573,0,0,0
T7_SHIELD,Masterpiece,0,451,601,0,0,0
T8_SHIELD,Normal,0,"473,5",631,0,0,0
T8_SHIELD,Good,0,"497,2",663,0,0,0
T8_SHIELD,Outstanding,0,522,696,0,0,0
T8_SHIELD,Excellent,0,"548,1",731,0,0,0
T8_SHIELD,Masterpiece,0,"575,5",767,0,0,0
T9_SHIELD,Normal,0,"604,3",806,0,0,0
T9_SHIELD,Good,0,"634,5",846,0,0,0
T9_SHIELD,Outstanding,0,"666,3",888,0,0,0
T9_SHIELD,Excellent,0,"699,6",933,0,0,0
T9_SHIELD,Masterpiece,0,"734,6",979,0,0,0
T10_SHIELD,Normal,0,"771,3",1028,0,0,0
T10_SHIELD,Good,0,"809,8",1080,0,0,0
T10_SHIELD,Outstanding,0,"850,3",1134,0,0,0
T10_SHIELD,Excellent,0,"892,9",1190,0,0,0
T10_SHIELD,Masterpiece,0,"937,5",1250,0,0,0
T1_PLATE_ARMOR,Normal,31,103,137,0,0,0
T1_PLATE_ARMOR,Good,33,108,144,0,0,0
T1_PLATE_ARMOR,Outstanding,34,114,151,0,0,0
T1_PLATE_ARMOR,Excellent,36,119,159,0,0,0
T1_PLATE_ARMOR,Masterpiece,38,125,167,0,0,0
T2_PLATE_ARMOR,Normal,40,131,175,0,0,0
T2_PLATE_ARMOR,Good,42,138,184,0,0,0
T2_PLATE_ARMOR,Outstanding,44,145,193,0,0,0
T2_PLATE_ARMOR,Excellent,46,152,203,0,0,0
T2_PLATE_ARMOR,Masterpiece,49,160,213,0,0,0
T3_PLATE_ARMOR,Normal,51,168,224,0,0,0
T3_PLATE_ARMOR,Good,53,176,235,0,0,0
T3_PLATE_ARMOR,Outstanding,56,185,247,0,0,0
T3_PLATE_ARMOR,Excellent,59,194,259,0,0,0
T3_PLATE_ARMOR,Masterpiece,62,204,272,0,0,0
T4_PLATE_ARMOR,Normal,65,214,286,0,0,0
T4_PLATE_ARMOR,Good,68,225,300,0,0,0
T4_PLATE_ARMOR,Outstanding,72,236,315,0,0,0
T4_PLATE_ARMOR,Excellent,75,248,331,0,0,0
T4_PLATE_ARMOR,Masterpiece,79,260,347,0,0,0
T5_PLATE_ARMOR,Normal,83,273,364,0,0,0
T5_PLATE_ARMOR,Good,87,287,383,0,0,0
T5_PLATE_ARMOR,Outstanding,91,301,402,0,0,0
T5_PLATE_ARMOR,Excellent,96,316,422,0,0,0
T5_PLATE_ARMOR,Masterpiece,101,332,443,0,0,0
T6_PLATE_ARMOR,Normal,106,349,465,0,0,0
T6_PLATE_ARMOR,Good,111,366,488,0,0,0
T6_PLATE_ARMOR,Outstanding,117,385,513,0,0,0
T6_PLATE_ARMOR,Excellent,123,404,538,0,0,0
T6_PLATE_ARMOR,Masterpiece,129,424,565,0,0,0
T7_PLATE_ARMOR,Normal,135,445,594,0,0,0
T7_PLATE_ARMOR,Good,142,467,623,0,0,0
T7_PLATE_ARMOR,Outstanding,149,491,654,0,0,0
T7_PLATE_ARMOR,Excellent,156,515,687,0,0,0
T7_PLATE_ARMOR,Masterpiece,164,541,722,0,0,0
T8_PLATE_ARMOR,Normal,173,568,758,0,0,0
T8_PLATE_ARMOR,Good,181,597,795,0,0,0
T8_PLATE_ARMOR,Outstanding,190,626,835,0,0,0
T8_PLATE_ARMOR,Excellent,200,658,877,0,0,0
T8_PLATE_ARMOR,Masterpiece,210,691,921,0,0,0
T9_PLATE_ARMOR,Normal,220,725,967,0,0,0
T9_PLATE_ARMOR,Good,231,761,1015,0,0,0
T9_PLATE_ARMOR,Outstanding,243,800,1066,0,0,0
T9_PLATE_ARMOR,Excellent,255,839,1119,0,0,0
T9_PLATE_ARMOR,Masterpiece,268,881,1175,0,0,0
T10_PLATE_ARMOR,Normal,281,926,1234,0,0,0
T10_PLATE_ARMOR,Good,295,972,1296,0,0,0
T10_PLATE_ARMOR,Outstanding,310,1020,1361,0,0,0
T10_PLATE_ARMOR,Excellent,325,1071,1429,0,0,0
T10_PLATE_ARMOR,Masterpiece,342,1125,1500,0,0,0
T1_PLATE_HELMET,Normal,16,69,92,0,0,0
T1_PLATE_HELMET,Good,16,72,96,0,0,0
T1_PLATE_HELMET,Outstanding,17,76,101,0,0,0
T1_PLATE_HELMET,Excellent,18,79,106,0,0,0
T1_PLATE_HELMET,Masterpiece,19,83,111,0,0,0
T2_PLATE_HELMET,Normal,20,88,117,0,0,0
T2_PLATE_HELMET,Good,21,92,123,0,0,0
